"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2013","Germany (until 1990 former territory of the FRG)","Thousand","543",""
"2013","Estonia","Thousand","478",""
"2013","Ireland","Thousand","428","d"
"2013","Greece","Thousand","469",""
"2013","Spain","Thousand","474","d"
"2013","France","Thousand","498",""
"2013","Croatia","Thousand","341",""
"2013","Italy","Thousand","608",""
"2013","Cyprus","Thousand","553",""
"2013","Latvia","Thousand","317",""
"2013","Lithuania","Thousand","615",""
"2013","Luxembourg","Thousand","661",""
"2013","Hungary","Thousand","308",""
"2013","Malta","Thousand","596",""
"2013","Netherlands","Thousand","471",""
"2013","Austria","Thousand","546",""
"2013","Poland","Thousand","510",""
"2013","Portugal","Thousand","415",""
"2013","Romania","Thousand","235","e"
"2013","Slovenia","Thousand","516",""
"2013","Slovakia","Thousand","347",""
"2013","Finland","Thousand","570",""
"2013","Sweden","Thousand","466",""
"2013","United Kingdom","Thousand",":",""
"2013","Iceland","Thousand",":",""
"2013","Liechtenstein","Thousand","757",""
"2013","Norway","Thousand","489",""
"2013","Switzerland","Thousand","531",""
"2013","Former Yugoslav Republic of Macedonia, the","Thousand","168",""
"2013","Turkey","Thousand","121",""
"2014","Belgium","Thousand","494",""
"2014","Bulgaria","Thousand","418",""
"2014","Czechia","Thousand","459",""
"2014","Denmark","Thousand",":",""
"2014","Germany (until 1990 former territory of the FRG)","Thousand","547",""
"2014","Estonia","Thousand","497","b"
"2014","Ireland","Thousand","431","d"
"2014","Greece","Thousand","471",""
"2014","Spain","Thousand","474","d"
"2014","France","Thousand","490","b"
"2014","Croatia","Thousand","349",""
"2014","Italy","Thousand","610",""
"2014","Cyprus","Thousand","565",""
"2014","Latvia","Thousand","331",""
"2014","Lithuania","Thousand","413","d"
"2014","Luxembourg","Thousand","662",""
"2014","Hungary","Thousand","315",""
"2014","Malta","Thousand","605",""
"2014","Netherlands","Thousand","472",""
"2014","Austria","Thousand","547",""
"2014","Poland","Thousand","526",""
"2014","Portugal","Thousand","453",""
"2014","Romania","Thousand","247","e"
"2014","Slovenia","Thousand","518",""
"2014","Slovakia","Thousand","360",""
"2014","Finland","Thousand","580",""
"2014","Sweden","Thousand","470",""
"2014","United Kingdom","Thousand",":",""
"2014","Iceland","Thousand",":",""
"2014","Liechtenstein","Thousand","762",""
"2014","Norway","Thousand","495",""
"2014","Switzerland","Thousand","532",""
"2014","Former Yugoslav Republic of Macedonia, the","Thousand","180",""
"2014","Turkey","Thousand","127",""
"2015","Belgium","Thousand","497",""
"2015","Bulgaria","Thousand","442",""
"2015","Czechia","Thousand","485",""
"2015","Denmark","Thousand",":",""
"2015","Germany (until 1990 former territory of the FRG)","Thousand","548",""
"2015","Estonia","Thousand","514",""
"2015","Ireland","Thousand","436",""
"2015","Greece","Thousand","474",""
"2015","Spain","Thousand","481","d"
"2015","France","Thousand","484","p"
"2015","Croatia","Thousand","358",""
"2015","Italy","Thousand",":",""
"2015","Cyprus","Thousand","575",""
"2015","Latvia","Thousand","345",""
"2015","Lithuania","Thousand","431",""
"2015","Luxembourg","Thousand","661",""
"2015","Hungary","Thousand","325",""
"2015","Malta","Thousand","611",""
"2015","Netherlands","Thousand","477",""
"2015","Austria","Thousand","546",""
"2015","Poland","Thousand","546",""
"2015","Portugal","Thousand","457",""
"2015","Romania","Thousand","261","d"
"2015","Slovenia","Thousand","523",""
"2015","Slovakia","Thousand","375",""
"2015","Finland","Thousand","590",""
"2015","Sweden","Thousand","474",""
"2015","United Kingdom","Thousand","463","e"
"2015","Iceland","Thousand",":",""
"2015","Liechtenstein","Thousand","766",""
"2015","Norway","Thousand","501",""
"2015","Switzerland","Thousand","535",""
"2015","Former Yugoslav Republic of Macedonia, the","Thousand","185",""
"2015","Turkey","Thousand","134",""
"2016","Belgium","Thousand","503",""
"2016","Bulgaria","Thousand","443",""
"2016","Czechia","Thousand","502","d"
"2016","Denmark","Thousand",":",""
"2016","Germany (until 1990 former territory of the FRG)","Thousand","555",""
"2016","Estonia","Thousand","534",""
"2016","Ireland","Thousand","439",""
"2016","Greece","Thousand","479",""
"2016","Spain","Thousand","492",""
"2016","France","Thousand","479","p"
"2016","Croatia","Thousand","374",""
"2016","Italy","Thousand","625",""
"2016","Cyprus","Thousand","595",""
"2016","Latvia","Thousand","341",""
"2016","Lithuania","Thousand","456",""
"2016","Luxembourg","Thousand","662","b"
"2016","Hungary","Thousand","338",""
"2016","Malta","Thousand","615",""
"2016","Netherlands","Thousand","481",""
"2016","Austria","Thousand",":",""
"2016","Poland","Thousand","571",""
"2016","Portugal","Thousand","470",""
"2016","Romania","Thousand",":",""
"2016","Slovenia","Thousand","531",""
"2016","Slovakia","Thousand","390",""
"2016","Finland","Thousand","604",""
"2016","Sweden","Thousand","477",""
"2016","United Kingdom","Thousand","469","d"
"2016","Iceland","Thousand",":",""
"2016","Liechtenstein","Thousand","773",""
"2016","Norway","Thousand","506",""
"2016","Switzerland","Thousand","537",""
"2016","Former Yugoslav Republic of Macedonia, the","Thousand","190",""
"2016","Turkey","Thousand","142",""
