"TIME","GEO","UNIT","PERS_INV","Value","Flag and Footnotes"
"2006","Italy","Number","Passengers","1,163",""
"2006","Italy","Number","Drivers","3,748",""
"2006","Italy","Number","Pedestrians","758",""
"2006","Cyprus","Number","Passengers","15",""
"2006","Cyprus","Number","Drivers","52",""
"2006","Cyprus","Number","Pedestrians","19",""
"2006","Latvia","Number","Passengers","82",""
"2006","Latvia","Number","Drivers","172",""
"2006","Latvia","Number","Pedestrians","153",""
"2006","Lithuania","Number","Passengers",":",""
"2006","Lithuania","Number","Drivers",":",""
"2006","Lithuania","Number","Pedestrians",":",""
"2006","Luxembourg","Number","Passengers","6",""
"2006","Luxembourg","Number","Drivers","27",""
"2006","Luxembourg","Number","Pedestrians","10",""
"2006","Hungary","Number","Passengers","284",""
"2006","Hungary","Number","Drivers","723",""
"2006","Hungary","Number","Pedestrians","296",""
"2006","Malta","Number","Passengers","1",""
"2006","Malta","Number","Drivers","6",""
"2006","Malta","Number","Pedestrians","4",""
"2006","Netherlands","Number","Passengers","106",""
"2006","Netherlands","Number","Drivers","558",""
"2006","Netherlands","Number","Pedestrians","66",""
"2006","Austria","Number","Passengers","119",""
"2006","Austria","Number","Drivers","501",""
"2006","Austria","Number","Pedestrians","110",""
"2006","Poland","Number","Passengers","1,147",""
"2006","Poland","Number","Drivers","2,294",""
"2006","Poland","Number","Pedestrians","1,802",""
"2006","Portugal","Number","Passengers","177",""
"2006","Portugal","Number","Drivers","619",""
"2006","Portugal","Number","Pedestrians","153",""
"2006","Romania","Number","Passengers","645",""
"2006","Romania","Number","Drivers","908",""
"2006","Romania","Number","Pedestrians","1,034",""
"2006","Slovenia","Number","Passengers","55",""
"2006","Slovenia","Number","Drivers","171",""
"2006","Slovenia","Number","Pedestrians","36",""
"2006","Slovakia","Number","Passengers","134",""
"2006","Slovakia","Number","Drivers","266",""
"2006","Slovakia","Number","Pedestrians","214",""
"2006","Finland","Number","Passengers","54",""
"2006","Finland","Number","Drivers","233",""
"2006","Finland","Number","Pedestrians","49",""
"2006","Sweden","Number","Passengers","81",""
"2006","Sweden","Number","Drivers","305",""
"2006","Sweden","Number","Pedestrians","55",""
"2006","United Kingdom","Number","Passengers","648",""
"2006","United Kingdom","Number","Drivers","1,953",""
"2006","United Kingdom","Number","Pedestrians","697",""
"2006","Iceland","Number","Passengers","8",""
"2006","Iceland","Number","Drivers","19",""
"2006","Iceland","Number","Pedestrians","4",""
"2006","Liechtenstein","Number","Passengers",":",""
"2006","Liechtenstein","Number","Drivers",":",""
"2006","Liechtenstein","Number","Pedestrians",":",""
"2006","Norway","Number","Passengers","40",""
"2006","Norway","Number","Drivers","166",""
"2006","Norway","Number","Pedestrians","36",""
"2006","Switzerland","Number","Passengers","51",""
"2006","Switzerland","Number","Drivers","243",""
"2006","Switzerland","Number","Pedestrians","76",""
"2007","Belgium","Number","Passengers","132",""
"2007","Belgium","Number","Drivers","834",""
"2007","Belgium","Number","Pedestrians","104",""
"2007","Bulgaria","Number","Passengers",":",""
"2007","Bulgaria","Number","Drivers",":",""
"2007","Bulgaria","Number","Pedestrians",":",""
